Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-07 16:00:00,2016-01-07 17:00:00,0.015,17,1,2016,7
2016-01-07 17:00:00,2016-01-07 18:00:00,0.0,18,1,2016,7
2016-01-07 18:00:00,2016-01-07 19:00:00,0.0,19,1,2016,7
2016-01-07 19:00:00,2016-01-07 20:00:00,0.0,20,1,2016,7
2016-01-07 20:00:00,2016-01-07 21:00:00,0.0,21,1,2016,7
2016-01-07 21:00:00,2016-01-07 22:00:00,0.0,22,1,2016,7
2016-01-07 22:00:00,2016-01-07 23:00:00,0.0,23,1,2016,7
2016-01-07 23:00:00,2016-01-08 00:00:00,0.0,0,1,2016,8
2016-01-08 00:00:00,2016-01-08 01:00:00,0.0,1,1,2016,8
2016-01-08 01:00:00,2016-01-08 02:00:00,0.0,2,1,2016,8
2016-01-08 02:00:00,2016-01-08 03:00:00,0.0,3,1,2016,8
2016-01-08 03:00:00,2016-01-08 04:00:00,0.0,4,1,2016,8
2016-01-08 04:00:00,2016-01-08 05:00:00,0.0,5,1,2016,8
2016-01-08 05:00:00,2016-01-08 06:00:00,0.0,6,1,2016,8
2016-01-08 06:00:00,2016-01-08 07:00:00,0.0,7,1,2016,8
2016-01-08 07:00:00,2016-01-08 08:00:00,0.004,8,1,2016,8
2016-01-08 08:00:00,2016-01-08 09:00:00,0.056,9,1,2016,8
2016-01-08 09:00:00,2016-01-08 10:00:00,0.147,10,1,2016,8
2016-01-08 10:00:00,2016-01-08 11:00:00,0.233,11,1,2016,8
2016-01-08 11:00:00,2016-01-08 12:00:00,0.286,12,1,2016,8
2016-01-08 12:00:00,2016-01-08 13:00:00,0.281,13,1,2016,8
2016-01-08 13:00:00,2016-01-08 14:00:00,0.241,14,1,2016,8
2016-01-08 14:00:00,2016-01-08 15:00:00,0.167,15,1,2016,8
2016-01-08 15:00:00,2016-01-08 16:00:00,0.08,16,1,2016,8
2016-01-08 16:00:00,2016-01-08 17:00:00,0.012,17,1,2016,8
2016-01-08 17:00:00,2016-01-08 18:00:00,0.0,18,1,2016,8
2016-01-08 18:00:00,2016-01-08 19:00:00,0.0,19,1,2016,8
2016-01-08 19:00:00,2016-01-08 20:00:00,0.0,20,1,2016,8
2016-01-08 20:00:00,2016-01-08 21:00:00,0.0,21,1,2016,8
2016-01-08 21:00:00,2016-01-08 22:00:00,0.0,22,1,2016,8
2016-01-08 22:00:00,2016-01-08 23:00:00,0.0,23,1,2016,8
2016-01-08 23:00:00,2016-01-09 00:00:00,0.0,0,1,2016,9
2016-01-09 00:00:00,2016-01-09 01:00:00,0.0,1,1,2016,9
2016-01-09 01:00:00,2016-01-09 02:00:00,0.0,2,1,2016,9
2016-01-09 02:00:00,2016-01-09 03:00:00,0.0,3,1,2016,9
2016-01-09 03:00:00,2016-01-09 04:00:00,0.0,4,1,2016,9
2016-01-09 04:00:00,2016-01-09 05:00:00,0.0,5,1,2016,9
2016-01-09 05:00:00,2016-01-09 06:00:00,0.0,6,1,2016,9
2016-01-09 06:00:00,2016-01-09 07:00:00,0.0,7,1,2016,9
2016-01-09 07:00:00,2016-01-09 08:00:00,0.0,8,1,2016,9
2016-01-09 08:00:00,2016-01-09 09:00:00,0.052,9,1,2016,9
2016-01-09 09:00:00,2016-01-09 10:00:00,0.176,10,1,2016,9
2016-01-09 10:00:00,2016-01-09 11:00:00,0.298,11,1,2016,9
2016-01-09 11:00:00,2016-01-09 12:00:00,0.375,12,1,2016,9
2016-01-09 12:00:00,2016-01-09 13:00:00,0.396,13,1,2016,9
2016-01-09 13:00:00,2016-01-09 14:00:00,0.347,14,1,2016,9
2016-01-09 14:00:00,2016-01-09 15:00:00,0.255,15,1,2016,9
2016-01-09 15:00:00,2016-01-09 16:00:00,0.133,16,1,2016,9
2016-01-09 16:00:00,2016-01-09 17:00:00,0.023,17,1,2016,9
2016-01-09 17:00:00,2016-01-09 18:00:00,0.0,18,1,2016,9
2016-01-09 18:00:00,2016-01-09 19:00:00,0.0,19,1,2016,9
2016-01-09 19:00:00,2016-01-09 20:00:00,0.0,20,1,2016,9
2016-01-09 20:00:00,2016-01-09 21:00:00,0.0,21,1,2016,9
2016-01-09 21:00:00,2016-01-09 22:00:00,0.0,22,1,2016,9
2016-01-09 22:00:00,2016-01-09 23:00:00,0.0,23,1,2016,9
2016-01-09 23:00:00,2016-01-10 00:00:00,0.0,0,1,2016,10
2016-01-10 00:00:00,2016-01-10 01:00:00,0.0,1,1,2016,10
2016-01-10 01:00:00,2016-01-10 02:00:00,0.0,2,1,2016,10
2016-01-10 02:00:00,2016-01-10 03:00:00,0.0,3,1,2016,10
2016-01-10 03:00:00,2016-01-10 04:00:00,0.0,4,1,2016,10
2016-01-10 04:00:00,2016-01-10 05:00:00,0.0,5,1,2016,10
2016-01-10 05:00:00,2016-01-10 06:00:00,0.0,6,1,2016,10
2016-01-10 06:00:00,2016-01-10 07:00:00,0.0,7,1,2016,10
2016-01-10 07:00:00,2016-01-10 08:00:00,0.002,8,1,2016,10
2016-01-10 08:00:00,2016-01-10 09:00:00,0.039,9,1,2016,10
2016-01-10 09:00:00,2016-01-10 10:00:00,0.11,10,1,2016,10
2016-01-10 10:00:00,2016-01-10 11:00:00,0.212,11,1,2016,10
2016-01-10 11:00:00,2016-01-10 12:00:00,0.281,12,1,2016,10
2016-01-10 12:00:00,2016-01-10 13:00:00,0.273,13,1,2016,10
2016-01-10 13:00:00,2016-01-10 14:00:00,0.241,14,1,2016,10
2016-01-10 14:00:00,2016-01-10 15:00:00,0.175,15,1,2016,10
2016-01-10 15:00:00,2016-01-10 16:00:00,0.084,16,1,2016,10
2016-01-10 16:00:00,2016-01-10 17:00:00,0.012,17,1,2016,10
2016-01-10 17:00:00,2016-01-10 18:00:00,0.0,18,1,2016,10
2016-01-10 18:00:00,2016-01-10 19:00:00,0.0,19,1,2016,10
2016-01-10 19:00:00,2016-01-10 20:00:00,0.0,20,1,2016,10
2016-01-10 20:00:00,2016-01-10 21:00:00,0.0,21,1,2016,10
2016-01-10 21:00:00,2016-01-10 22:00:00,0.0,22,1,2016,10
2016-01-10 22:00:00,2016-01-10 23:00:00,0.0,23,1,2016,10
2016-01-10 23:00:00,2016-01-11 00:00:00,0.0,0,1,2016,11
2016-01-11 00:00:00,2016-01-11 01:00:00,0.0,1,1,2016,11
2016-01-11 01:00:00,2016-01-11 02:00:00,0.0,2,1,2016,11
2016-01-11 02:00:00,2016-01-11 03:00:00,0.0,3,1,2016,11
2016-01-11 03:00:00,2016-01-11 04:00:00,0.0,4,1,2016,11
2016-01-11 04:00:00,2016-01-11 05:00:00,0.0,5,1,2016,11
2016-01-11 05:00:00,2016-01-11 06:00:00,0.0,6,1,2016,11
2016-01-11 06:00:00,2016-01-11 07:00:00,0.0,7,1,2016,11
2016-01-11 07:00:00,2016-01-11 08:00:00,0.003,8,1,2016,11
2016-01-11 08:00:00,2016-01-11 09:00:00,0.082,9,1,2016,11
2016-01-11 09:00:00,2016-01-11 10:00:00,0.227,10,1,2016,11
2016-01-11 10:00:00,2016-01-11 11:00:00,0.341,11,1,2016,11
2016-01-11 11:00:00,2016-01-11 12:00:00,0.384,12,1,2016,11
2016-01-11 12:00:00,2016-01-11 13:00:00,0.391,13,1,2016,11
